title,price,location,url,page
LTD MH 10 Black Elektro Gitar,18.000 TL,"Tekirdağ
Çerkezköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ltd-mh-10-black-elektro-gitar-1224876863/detay,2
İbanez jam jr elektro gitar,16.000 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-jam-jr-elektro-gitar-1224748741/detay,2
Custom Relic Stratocaster,19.500 TL,"İstanbul
Üsküdar",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-custom-relic-stratocaster-1224858813/detay,2
TAKAS YAPILMAZ.. ibanez AS73 TBC(Elec.Upgraded),21.000 TL,"İzmir
Urla",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-takas-yapilmaz-ibanez-as73-tbc-elec.upgraded-1224858534/detay,2
Donner Elektro Gitar Seti Ekstralı,9.500 TL,"Antalya
Manavgat",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-donner-elektro-gitar-seti-ekstrali-1224632540/detay,2
Jackson elektro gitar 0,13.500 TL,"İstanbul
Büyükçekmece",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-jackson-elektro-gitar-0-1224854268/detay,2
Elektro gitar,4.000 TL,"Isparta
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-elektro-gitar-1224631243/detay,2
IBANEZ GRG121SP ELEKTRO GİTAR + ERNIE BALL ASKI + KILIF,13.800 TL,"Kocaeli
Körfez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grg121sp-elektro-gitar-plus-ernie-ball-aski-plus-kilif-1224851475/detay,2
İbanez GRG 170 DX,10.000 TL,"İzmir
Bornova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grg-170-dx-1224624966/detay,2
ESP LTD MH-50 Elektro Gitar,18.500 TL,"İstanbul
Bayrampaşa",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-esp-ltd-mh-50-elektro-gitar-1224843393/detay,2
Warmoth USA Custom Dinky Style Arizona Turquoise Flake,95.000 TL,"Kocaeli
Gebze",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-warmoth-usa-custom-dinky-style-arizona-turquoise-flake-1148755223/detay,2
IBANEZ GRX70QA-TBB Elektro Gitar,10.000 TL,"İstanbul
Ataşehir",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grx70qa-tbb-elektro-gitar-1224824300/detay,2
Fender American Professional II Stratocaster 2021 Olympic White,78.500 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-american-professional-ii-stratocaster-2021-olympic-white-1224819802/detay,2
SIFIR AYARINDA ÇİZİKSİZ İBANEZ GRG170dx ve marshall mg 10 amfi,14.000 TL,"Konya
Ilgın",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-sifir-ayarinda-ciziksiz-ibanez-grg170dx-ve-marshall-mg-10-amfi-1224819760/detay,3
Squier Affinity Telecaster Lake Placid Blue,12.500 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-squier-affinity-telecaster-lake-placid-blue-1224817606/detay,3
Elektro gitar,8.000 TL,"İstanbul
Küçükçekmece",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-elektro-gitar-1224818878/detay,3
